Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,ff [MPa],Vf [%],df [mm],Lf [mm],fst [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
195.0,336.0,750.0,1145.0,10,0.0,Hooked,1.0,1100.0,1.0,0.75,30.0,2.63,0.580357142857143,0.395778364116095,5.63988095238095,40.0,40.0,40.0,40.0,40.0
195.0,336.0,750.0,1145.0,10,0.0,Hooked,1.0,1100.0,1.0,0.75,40.0,2.72,0.580357142857143,0.395778364116095,5.63988095238095,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
195.0,336.0,750.0,1145.0,20,0.0,Hooked,1.0,1100.0,1.0,0.75,30.0,2.82,0.580357142857143,0.395778364116095,5.63988095238095,40.0,40.0,40.0,40.0,40.0
195.0,336.0,750.0,1145.0,20,0.0,Hooked,1.0,1100.0,1.0,0.75,40.0,2.98,0.580357142857143,0.395778364116095,5.63988095238095,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
195.0,336.0,750.0,1145.0,20,0.0,Hooked,1.0,1100.0,1.0,0.75,50.0,3.19,0.580357142857143,0.395778364116095,5.63988095238095,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
195.0,336.0,750.0,1145.0,20,0.0,Hooked,1.0,1100.0,1.0,0.75,60.0,3.39,0.580357142857143,0.395778364116095,5.63988095238095,80.0,80.0,80.0,80.0,80.0
195.0,336.0,750.0,1145.0,30,0.0,Hooked,1.0,1100.0,1.0,0.75,30.0,3.11,0.580357142857143,0.395778364116095,5.63988095238095,40.0,40.0,40.0,40.0,40.0
195.0,336.0,750.0,1145.0,30,0.0,Hooked,1.0,1100.0,1.0,0.75,40.0,3.28,0.580357142857143,0.395778364116095,5.63988095238095,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
195.0,336.0,750.0,1145.0,30,0.0,Hooked,1.0,1100.0,1.0,0.75,50.0,3.33,0.580357142857143,0.395778364116095,5.63988095238095,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
195.0,336.0,750.0,1145.0,30,0.0,Hooked,1.0,1100.0,1.0,0.75,60.0,3.51,0.580357142857143,0.395778364116095,5.63988095238095,80.0,80.0,80.0,80.0,80.0
195.0,336.0,750.0,1145.0,40,0.0,Hooked,1.0,1100.0,1.0,0.75,50.0,3.09,0.580357142857143,0.395778364116095,5.63988095238095,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
195.0,336.0,750.0,1145.0,40,0.0,Hooked,1.0,1100.0,1.0,0.75,60.0,3.22,0.580357142857143,0.395778364116095,5.63988095238095,80.0,80.0,80.0,80.0,80.0
172.0,521.0,652.0,1080.0,10,5.21,No fiber,0.0,0.0,0.0,0.0,0.0,4.18,0.330134357005758,0.376443418013857,3.32437619961612,0.0,0.0,0.0,0.0,0.0
172.0,521.0,652.0,1080.0,20,5.21,No fiber,0.0,0.0,0.0,0.0,0.0,4.23,0.330134357005758,0.376443418013857,3.32437619961612,0.0,0.0,0.0,0.0,0.0
172.0,521.0,652.0,1080.0,30,5.21,No fiber,0.0,0.0,0.0,0.0,0.0,4.1,0.330134357005758,0.376443418013857,3.32437619961612,0.0,0.0,0.0,0.0,0.0
172.0,521.0,652.0,1080.0,40,5.21,No fiber,0.0,0.0,0.0,0.0,0.0,3.93,0.330134357005758,0.376443418013857,3.32437619961612,0.0,0.0,0.0,0.0,0.0
172.0,521.0,652.0,1080.0,10,5.21,Hooked,1.0,1100.0,1.0,0.75,30.0,5.28,0.330134357005758,0.376443418013857,3.32437619961612,40.0,40.0,40.0,40.0,40.0
172.0,521.0,652.0,1080.0,10,5.21,Hooked,1.0,1100.0,1.0,0.75,40.0,4.83,0.330134357005758,0.376443418013857,3.32437619961612,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
172.0,521.0,652.0,1080.0,20,5.21,Hooked,1.0,1100.0,1.0,0.75,30.0,4.88,0.330134357005758,0.376443418013857,3.32437619961612,40.0,40.0,40.0,40.0,40.0
172.0,521.0,652.0,1080.0,20,5.21,Hooked,1.0,1100.0,1.0,0.75,40.0,5.04,0.330134357005758,0.376443418013857,3.32437619961612,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
172.0,521.0,652.0,1080.0,20,5.21,Hooked,1.0,1100.0,1.0,0.75,50.0,5.32,0.330134357005758,0.376443418013857,3.32437619961612,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
172.0,521.0,652.0,1080.0,20,5.21,Hooked,1.0,1100.0,1.0,0.75,60.0,5.58,0.330134357005758,0.376443418013857,3.32437619961612,80.0,80.0,80.0,80.0,80.0
