Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,Vf [%],df [mm],Lf [mm],fcy [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
175.0,461.0,512.0,1252.0,10.0,0.0,No fiber,0.0,0.0,0.0,0.0,28.4723809523809,0.379609544468547,0.290249433106576,3.82646420824295,0.0,0.0,0.0,0.0,0.0
175.0,461.0,512.0,1252.0,10.0,0.0,Hooked,1.0,1.0,1.0,35.0,29.592380952381,0.379609544468547,0.290249433106576,3.82646420824295,35.0,35.0,35.0,35.0,35.0
175.0,461.0,512.0,1252.0,10.0,0.0,Hooked,1.0,1.2,1.0,35.0,30.3161904761905,0.379609544468547,0.290249433106576,3.82646420824295,35.0,35.0,35.0,35.0,42.0
175.0,461.0,512.0,1252.0,10.0,0.0,Hooked,1.0,1.5,1.0,35.0,31.4057142857143,0.379609544468547,0.290249433106576,3.82646420824295,35.0,35.0,35.0,35.0,52.5
160.0,400.0,750.0,1140.0,20.0,8.0,No fiber,0.0,0.0,0.0,0.0,42.7428571428571,0.4,0.396825396825397,4.725,0.0,0.0,0.0,0.0,0.0
160.0,400.0,750.0,1140.0,20.0,8.0,Hooked,1.0,0.5,0.5,30.0,45.1047619047619,0.4,0.396825396825397,4.725,60.0,60.0,60.0,60.0,30.0
230.0,535.0,556.0,1079.0,16.0,0.0,No fiber,0.0,0.0,0.0,0.0,36.4636363636364,0.429906542056075,0.340061162079511,3.05607476635514,0.0,0.0,0.0,0.0,0.0
230.0,535.0,556.0,1079.0,16.0,0.0,Hooked,1.0,1.0,0.55,30.0,41.1090909090909,0.429906542056075,0.340061162079511,3.05607476635514,54.5454545454545,54.5454545454545,54.5454545454545,54.5454545454545,54.5454545454545
165.0,471.0,690.0,1038.0,20.0,2.83,Crimped,0.75,1.0,0.5,30.0,39.0095238095238,0.35031847133758,0.399305555555556,3.6687898089172,60.0,45.0,60.0,45.0,60.0
165.0,300.0,760.0,1140.0,20.0,1.8,Crimped,0.75,1.0,0.5,30.0,23.8476190476191,0.55,0.4,6.33333333333333,60.0,45.0,60.0,45.0,60.0
195.0,361.0,664.0,1180.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,30.5676190476191,0.54016620498615,0.360086767895879,5.10803324099723,0.0,0.0,0.0,0.0,0.0
195.0,361.0,664.0,1180.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,29.0742857142857,0.54016620498615,0.360086767895879,5.10803324099723,0.0,0.0,0.0,0.0,0.0
195.0,361.0,664.0,1180.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,29.8971428571429,0.54016620498615,0.360086767895879,5.10803324099723,0.0,0.0,0.0,0.0,0.0
195.0,406.0,630.0,1169.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,28.8761904761905,0.480295566502463,0.350194552529183,4.43103448275862,0.0,0.0,0.0,0.0,0.0
195.0,406.0,630.0,1169.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,28.1142857142857,0.480295566502463,0.350194552529183,4.43103448275862,0.0,0.0,0.0,0.0,0.0
195.0,406.0,630.0,1169.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,30.0190476190476,0.480295566502463,0.350194552529183,4.43103448275862,0.0,0.0,0.0,0.0,0.0
204.0,425.0,713.0,1069.0,20.0,0.0,Mill-cut,0.5,0.5,0.9436,32.31,28.8,0.48,0.400112233445567,4.19294117647059,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,17.1206019499788
204.0,425.0,713.0,1069.0,20.0,0.0,Mill-cut,0.5,0.5,0.9436,32.31,31.4209523809524,0.48,0.400112233445567,4.19294117647059,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,17.1206019499788
